preview,id,name,slug,parent,tagline,has_intro,has_description,allowed_axes,axis_filter,has_rule,cover,has_seo,correct? ✓/✗,issue_type,notes,fixed?
,11,تخت خواب,bed,,,,,,,,,,,,,
,12,پاتختی,nightstand,,,,,"drawers, finish",,,,,,,,
,13,میز,table,,,,,,,,,,,,,
,14,ذخیره‌ سازی و نظم‌ دهی,storage,,,,,,,,,,,,,
,15,نمایش و دکوراسیون,display,,,,,,,,,,,,,
,16,آینه,mirror,,,,,,,,,,,,,
,17,صندلی,seating,,,,,,,,,,,,,
,18,تجهیزات مکمل تخت,complement,,,,,,,,,,,,,
,19,تخت نوزاد,baby,تخت خواب,,,,"size, conversion",,,,,,,,
,20,تخت یک نفره,single,تخت خواب,,,,"size, footboard",,,,,,,,
,21,تخت دونفره,double,تخت خواب,,,,"size, footboard",,,,,,,,
,22,تخت دوطبقه,bunk,تخت خواب,,,,bunk_configuration,,,,,,,,
,23,میز آرایش,vanity,میز,,,,"width, finish, drawers",,,,,,,,
,24,میز تحریر,study-desk,میز,,,,"width, finish",,,,,,,,
,25,کتابخانه,bookcase,ذخیره‌ سازی و نظم‌ دهی,,,,"width, finish",,,,,,,,
,26,فایل,file-cabinet,ذخیره‌ سازی و نظم‌ دهی,,,,"drawers, finish",,,,,,,,
,27,کمد,wardrobe,ذخیره‌ سازی و نظم‌ دهی,,,,"doors, finish",,,,,,,,
,28,ویترین,display-cabinet,نمایش و دکوراسیون,,,,"width, finish",,,,,,,,
,29,کنسول,console,نمایش و دکوراسیون,,,,"drawers, finish",,,,,,,,
,30,آینه قدی,standing-mirror,آینه,,,,"size, finish",,,,,,,,
,31,آینه رومیزی,table-mirror,آینه,,,,size,,,,,,,,
,32,آینه دیواری,wall-mirror,آینه,,,,size,,,,,,,,
,33,صندلی میز آرایش,vanity-chair,صندلی,,,,"fabric, finish",,,,,,,,
,34,صندلی میز تحریر,study-chair,صندلی,,,,"fabric, finish",,,,,,,,
,35,لاوست,loveseat,صندلی,,,,fabric,,,,,,,,
,36,باکس تخت,bed-box,تجهیزات مکمل تخت,,,,size,,,,,,,,
,37,حفاظ تخت,bed-guard,تجهیزات مکمل تخت,,,,size,,,,,,,,
,38,جک کفی تخت,bed-jack,تجهیزات مکمل تخت,,,,size,,,,,,,,
,39,میز تعویض,changing-table,تجهیزات مکمل تخت,,,,finish,,,,,,,,
,40,صفحه میز تعویض,changing-top,تجهیزات مکمل تخت,,,,finish,,,,,,,,
,41,شلف دیواری (براکت),wall-shelf,تجهیزات مکمل تخت,,,,"width, finish",,,,,,,,
,42,تخت نوزاد دومظوره (نوزاد نوجوان، کاناپه ای),convertible,تخت نوزاد,,,,size,✓,,,,,,,
,43,کمد یک درب,single-door,کمد,,,,finish,✓,,,,,,,
,44,کمد دو درب,double-door,کمد,,,,finish,✓,,,,,,,
,45,کمد سه درب,triple-door,کمد,,,,"finish, glass",✓,,,,,,,
,46,کمد ریلی,sliding,کمد,,,,finish,✓,,,,,,,
